X,Y,ID,ESTACION,LINEA
-58.3989275853601,-34.635750180343,1.00000000000,CASEROS,H
-58.4009695560165,-34.6293756575728,2.00000000000,INCLAN,H
-58.402322730424,-34.6230923205019,3.00000000000,HUMBERTO 1°,H
-58.40473171649,-34.6152421522706,4.00000000000,VENEZUELA,H
-58.4060363810352,-34.6089352416216,5.00000000000,ONCE - 30 DE DICIEMBRE,H
-58.3805743428896,-34.6042452029629,6.00000000000,9 DE JULIO,D
-58.3979237555734,-34.5997570807639,7.00000000000,FACULTAD DE MEDICINA,D
-58.3851423588013,-34.6015871651394,8.00000000000,TRIBUNALES - TEATRO COLÓN,D
-58.4071613201899,-34.5916278437199,9.00000000000,AGÜERO,D
-58.4159554190067,-34.5851559440494,10.00000000000,R.SCALABRINI ORTIZ,D
-58.4211960101264,-34.5814111936045,11.00000000000,PLAZA ITALIA,D
-58.4257114411124,-34.5784220227904,12.00000000000,PALERMO,D
-58.3740182164816,-34.5911938083332,13.00000000000,RETIRO,C
-58.3781557828244,-34.6017699230114,14.00000000000,LAVALLE,C
-58.3795299800739,-34.6048437399141,15.00000000000,DIAGONAL NORTE,C
-58.3806107179579,-34.6089833148827,16.00000000000,AV. DE MAYO,C
-58.3804444696601,-34.6126172798037,17.00000000000,MORENO,C
-58.3801736104752,-34.6181255992933,18.00000000000,INDEPENDENCIA,C
-58.3814344339343,-34.6276194522548,19.00000000000,CONSTITUCION,C
-58.3750715182636,-34.6032972855775,20.00000000000,FLORIDA,B
-58.3807148471409,-34.6036371051817,21.00000000000,C. PELLEGRINI,B
-58.3872961335408,-34.6040935531057,22.00000000000,URUGUAY,B
-58.3923142350888,-34.6044195428608,23.00000000000,CALLAO,B
-58.399474256679,-34.6046429679193,24.00000000000,PASTEUR - AMIA,B
-58.4053994398434,-34.6045810553512,25.00000000000,PUEYRREDON,B
-58.4117625996321,-34.6040795173475,26.00000000000,CARLOS GARDEL,B
-58.4209624702706,-34.6031649010973,27.00000000000,MEDRANO,B
-58.4312738603246,-34.6021622293427,28.00000000000,ANGEL GALLARDO,B
-58.4397714984155,-34.5989673641588,29.00000000000,MALABIA - OSVALDO PUGLIESE,B
-58.4475730925312,-34.5917181536198,30.00000000000,DORREGO,B
-58.3742677264305,-34.6085590738533,31.00000000000,PERU,A
-58.3790851530909,-34.608881721215,32.00000000000,PIEDRAS,A
-58.3822324010182,-34.6090998065519,33.00000000000,LIMA,A
-58.3867771940873,-34.6094125865027,34.00000000000,SAENZ PEÑA,A
-58.3926688246649,-34.6092256843174,35.00000000000,CONGRESO,A
-58.3984269918123,-34.6096459617053,36.00000000000,PASCO,A
-58.401207534233,-34.6098335784398,37.00000000000,ALBERTI,A
-58.4067071165088,-34.6098172456706,38.00000000000,PLAZA DE MISERERE,A
-58.4151857088376,-34.6107816904504,39.00000000000,LORIA,A
-58.4218156713706,-34.6117702291255,40.00000000000,CASTRO BARROS,A
-58.4295003232997,-34.6152056103312,41.00000000000,RIO DE JANEIRO,A
-58.4364285288494,-34.6182799671446,42.00000000000,ACOYTE,A
-58.4411776251109,-34.6204052128589,43.00000000000,PRIMERA JUNTA,A
-58.3736842241685,-34.6092424288608,44.00000000000,BOLIVAR,E
-58.3775808865406,-34.6128491058186,45.00000000000,BELGRANO,E
-58.3815349417123,-34.6179373939772,46.00000000000,INDEPENDENCIA,E
-58.3851485496238,-34.6223394919367,47.00000000000,SAN JOSE,E
-58.3915116999715,-34.6227196661278,48.00000000000,ENTRE RIOS - RODOLFO WALSH,E
-58.3970680746626,-34.6231098657791,49.00000000000,PICHINCHA,E
-58.4029365802561,-34.6238657115835,50.00000000000,JUJUY,E
-58.4093907834436,-34.6246537864662,51.00000000000,URQUIZA,E
-58.4338162502395,-34.6280175487742,52.00000000000,JOSE MARIA MORENO,E
-58.4421707059653,-34.6310418421655,53.00000000000,EMILIO MITRE,E
-58.4112939013936,-34.5882371084182,54.00000000000,BULNES,D
-58.4023953425351,-34.5944257186285,55.00000000000,PUEYRREDON,D
-58.3931251809727,-34.599639552419,56.00000000000,CALLAO,D
-58.3778190509867,-34.5950574047791,57.00000000000,SAN MARTIN,C
-58.3799211788651,-34.6219167322081,58.00000000000,SAN JUAN,C
-58.4502782563709,-34.6363891893858,59.00000000000,MEDALLA MILAGROSA,E
-58.4267890228972,-34.627015467002,60.00000000000,AV. LA PLATA,E
-58.4155328189678,-34.6253661058926,61.00000000000,BOEDO,E
